Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
Exhibit01,https://www.imcc.wa.edu.au/images/Documents/IMCCAppleTV_Exhibit/imcc_1.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit02,https://www.imcc.wa.edu.au/images/Documents/IMCCAppleTV_Exhibit/imcc_2.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit03,https://www.imcc.wa.edu.au/images/Documents/IMCCAppleTV_Exhibit/imcc_3.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit04,https://www.imcc.wa.edu.au/images/Documents/IMCCAppleTV_Exhibit/imcc_4.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit05,https://www.imcc.wa.edu.au/images/Documents/IMCCAppleTV_Exhibit/imcc_5.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit06,https://www.imcc.wa.edu.au/images/Documents/IMCCAppleTV_Exhibit/imcc_6.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit07,https://www.imcc.wa.edu.au/images/Documents/IMCCAppleTV_Exhibit/imcc_7.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit08,https://www.imcc.wa.edu.au/images/Documents/IMCCAppleTV_Exhibit/imcc_8.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit09,https://www.imcc.wa.edu.au/images/Documents/IMCCAppleTV_Exhibit/imcc_9.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit10,https://www.imcc.wa.edu.au/images/Documents/IMCCAppleTV_Exhibit/imcc_10.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit11,https://www.imcc.wa.edu.au/images/Documents/IMCCAppleTV_Exhibit/imcc_11.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit12,https://www.imcc.wa.edu.au/images/Documents/IMCCAppleTV_Exhibit/imcc_12.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit13,https://www.imcc.wa.edu.au/images/Documents/IMCCAppleTV_Exhibit/imcc_13.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit14,https://www.imcc.wa.edu.au/images/Documents/IMCCAppleTV_Exhibit/imcc_14.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit15,https://www.imcc.wa.edu.au/images/Documents/IMCCAppleTV_Exhibit/imcc_15.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit16,https://www.imcc.wa.edu.au/images/Documents/IMCCAppleTV_Exhibit/imcc_16.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit17,https://www.imcc.wa.edu.au/images/Documents/IMCCAppleTV_Exhibit/imcc_17.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit18,https://www.imcc.wa.edu.au/images/Documents/IMCCAppleTV_Exhibit/imcc_18.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit19,https://www.imcc.wa.edu.au/images/Documents/IMCCAppleTV_Exhibit/imcc_19.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit20,https://www.imcc.wa.edu.au/images/Documents/IMCCAppleTV_Exhibit/imcc_20.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit21,https://www.imcc.wa.edu.au/images/Documents/IMCCAppleTV_Exhibit/imcc_21.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit22,https://www.imcc.wa.edu.au/images/Documents/IMCCAppleTV_Exhibit/imcc_22.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit23,https://www.imcc.wa.edu.au/images/Documents/IMCCAppleTV_Exhibit/imcc_23.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit24,https://www.imcc.wa.edu.au/images/Documents/IMCCAppleTV_Exhibit/imcc_24.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit25,https://www.imcc.wa.edu.au/images/Documents/IMCCAppleTV_Exhibit/imcc_25.jpg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
